uniprot_id	protein	sector	sector_short
P40814	Type III restriction-modification enzyme StyLTI Mod subunit	Other	Oth
P40816	Release factor glutamine methyltransferase	Translation and protein homeostasis	Rib
P40819	Orphan antitoxin YefM	Translation and protein homeostasis	Rib
P40827	Murein hydrolase activator NlpD	Lipid and cell wall metabolism	Lpb
P40865	HTH-type transcriptional activator RhaR	Other	Oth
P43015	Transcriptional regulator HilA	Other	Oth
P43669	Tail-specific protease	Translation and protein homeostasis	Rib
P46924	Probable transcriptional regulator LeuO	Other	Oth
P55888	Tyrosine recombinase XerC	Other	Oth
P58525	N-methyl-L-tryptophan oxidase	Amino acid biosynthesis	Aab
P58533	D-aminoacyl-tRNA deacylase	Translation and protein homeostasis	Rib
P58627	7-methyl-GTP pyrophosphatase	Translation and protein homeostasis	Rib
P59696	Transposase IS200	Other	Oth
P60195	Ribonuclease BN	Translation and protein homeostasis	Rib
P60959	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase	Lipid and cell wall metabolism	Lpb
P63866	Fluoride-specific ion channel FluC	Transport	Tra
P63989	DNA polymerase IV	Other	Oth
P64036	Elongation factor P	Translation and protein homeostasis	Rib
P64394	Integration host factor subunit beta	Other	Oth
P65359	Septum site-determining protein MinC	Lipid and cell wall metabolism	Lpb
P65449	Peptide methionine sulfoxide reductase MsrB	Translation and protein homeostasis	Rib
P65510	Glutathione-regulated potassium-efflux system ancillary protein KefG	Transport	Tra
P65524	K(+)/H(+) antiporter NhaP2	Transport	Tra
P65817	Protease HtpX	Translation and protein homeostasis	Rib
P65840	Ribosomal small subunit pseudouridine synthase A	Translation and protein homeostasis	Rib
P66684	Ribonuclease T	Translation and protein homeostasis	Rib
P66932	Trigger factor	Translation and protein homeostasis	Rib
P66950	Beta-barrel assembly-enhancing protease	Lipid and cell wall metabolism	Lpb
P66974	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ	Translation and protein homeostasis	Rib
P67197	Phosphoenolpyruvate synthase regulatory protein	Carbon metabolism	Cbn
P67341	O-acetyl-ADP-ribose deacetylase	Other	Oth
P67347	Protein-methionine-sulfoxide reductase catalytic subunit MsrP	Translation and protein homeostasis	Rib
P67470	Zinc Transporter ZupT	Transport	Tra
P67520	Ribosomal RNA large subunit methyltransferase H	Translation and protein homeostasis	Rib
P67613	Leucyl/phenylalanyl-tRNA--protein transferase	Translation and protein homeostasis	Rib
P68738	Endonuclease V	Other	Oth
P69066	Chaperone protein SicA	Translation and protein homeostasis	Rib
P74839	Propionate catabolism operon regulatory protein	Other	Oth
P74853	SPI-2 type 3 secretion system stator protein	Flagellum and motility including its regulation	Fla
P74884	Fe(2+) Transporter FeoB	Transport	Tra
Q04866	Chain length determinant protein	Lipid and cell wall metabolism	Lpb
Q05587	Regulatory protein PocR	Other	Oth
Q56016	Ribosomal RNA small subunit methyltransferase A	Translation and protein homeostasis	Rib
Q56057	GTPase Era	Translation and protein homeostasis	Rib
Q56121	Peptide chain release factor 3	Translation and protein homeostasis	Rib
Q7BM06	3'-5' ssDNA/RNA exonuclease TatD	Other	Oth
Q7CPC4	L-rhamnose mutarotase	Carbon metabolism	Cbn
Q7CPD4	Xaa-Pro dipeptidase	Amino acid biosynthesis	Aab
Q7CPJ1	Ribosomal RNA large subunit methyltransferase J	Translation and protein homeostasis	Rib
Q7CPQ6	Outer membrane lipoprotein DolP	Lipid and cell wall metabolism	Lpb
Q7CPS4	Protein YgiW	Other	Oth
Q7CPW1	Ribosomal RNA large subunit methyltransferase M	Translation and protein homeostasis	Rib
Q7CQ08	tRNA-specific adenosine deaminase	Translation and protein homeostasis	Rib
Q7CQ23	Thioredoxin-dependent peroxiredoxin	Translation and protein homeostasis	Rib
Q7CQ25	GDP-mannose pyrophosphatase	Carbon metabolism	Cbn
Q7CQ37	Flagellar regulator Flk	Flagellum and motility including its regulation	Fla
Q7CQ75	Murein DD-endopeptidase MepS	Lipid and cell wall metabolism	Lpb
Q7CQC4	Carboxy-S-adenosyl-L-methionine synthase	Carbon metabolism	Cbn
Q7CQE0	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	Translation and protein homeostasis	Rib
Q7CQE4	Membrane-bound lytic murein transglycosylase A	Lipid and cell wall metabolism	Lpb
Q7CQK0	Spermidine export protein MdtI	Transport	Tra
Q7CQK1	Spermidine export protein MdtJ	Transport	Tra
Q7CQV9	DNA protection during starvation protein	Other	Oth
Q7CQY3	Ferric uptake regulation protein	Other	Oth
Q7CQY4	Chitoporin	Transport	Tra
Q7CR17	Hemolysin expression-modulating protein Hha	Other	Oth
Q7CR52	Sigma factor-binding protein Crl	Other	Oth
Q7CR81	Cell division protein FtsQ	Lipid and cell wall metabolism	Lpb
Q7CR87	Chaperone SurA	Translation and protein homeostasis	Rib
Q8XFK6	Thiol:disulfide interchange protein DsbE	Translation and protein homeostasis	Rib
Q8XG35	Cytochrome c-type biogenesis protein CcmE	Translation and protein homeostasis	Rib
Q8ZJT6	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ	Translation and protein homeostasis	Rib
Q8ZJU7	Transcriptional regulator Rob	Other	Oth
Q8ZJU9	Energy-dependent translational throttle protein EttA	Translation and protein homeostasis	Rib
Q8ZJW4	Ribosomal protein bS18-alanine N-acetyltransferase	Translation and protein homeostasis	Rib
Q8ZJW6	Ribosomal RNA small subunit methyltransferase C	Translation and protein homeostasis	Rib
Q8ZJW8	Probable diguanylate cyclase DgcQ	Other	Oth
Q8ZJX6	Phosphoglycerol transferase I	Lipid and cell wall metabolism	Lpb
Q8ZJZ8	Isoaspartyl dipeptidase	Translation and protein homeostasis	Rib
Q8ZK66	Mur ligase	Lipid and cell wall metabolism	Lpb
Q8ZKA3	HTH-type transcriptional repressor NsrR	Other	Oth
Q8ZKA5	GTPase HflX	Translation and protein homeostasis	Rib
Q8ZKA8	Epoxyqueuosine reductase	Translation and protein homeostasis	Rib
Q8ZKB8	L-lysine 2,3-aminomutase	Amino acid biosynthesis	Aab
Q8ZKC3	Thiol:disulfide interchange protein DsbD	Lipid and cell wall metabolism	Lpb
Q8ZKH4	tRNA-dihydrouridine synthase	Translation and protein homeostasis	Rib
Q8ZKL1	RNA pseudouridine synthase RluF	Translation and protein homeostasis	Rib
Q8ZKN9	Cell division protein FtsN	Lipid and cell wall metabolism	Lpb
Q8ZKP5	Ferredoxin/ferredoxin--NADP reductase	Electron Transport chain	Etc
Q8ZKR4	Cation-efflux pump FieF	Transport	Tra
Q8ZKW2	Regulatory ATPase RavA	Other	Oth
Q8ZKX9	Quinone reductase	Electron Transport chain	Etc
Q8ZKY3	tRNA modification GTPase MnmE	Translation and protein homeostasis	Rib
Q8ZL46	Nucleoid occlusion factor SlmA	Other	Oth
Q8ZL60	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmL	Translation and protein homeostasis	Rib
Q8ZL65	Inner membrane lipoprotein SadB	Lipid and cell wall metabolism	Lpb
Q8ZLB5	Cyclic di-GMP binding protein BcsE	Other	Oth
Q8ZLB7	Endoglucanase	Carbon metabolism	Cbn
Q8ZLE5	P-type Zn(2+) Transporter	Transport	Tra
Q8ZLG0	Ribokinase	Carbon metabolism	Cbn
Q8ZLH9	3'-phosphate/5'-hydroxy nucleic acid ligase	Translation and protein homeostasis	Rib
Q8ZLI3	HTH-type transcriptional regulator MalT	Other	Oth
Q8ZLM5	Ribosomal RNA small subunit methyltransferase B	Translation and protein homeostasis	Rib
Q8ZLN0	Threonylcarbamoyl-AMP synthase TsaC	Translation and protein homeostasis	Rib
Q8ZLN7	Anti-FlhC(2)FlhD(4) factor YdiV	Flagellum and motility including its regulation	Fla
Q8ZLP1	Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ	Electron Transport chain	Etc
Q8ZLS7	Ribosomal RNA large subunit methyltransferase E	Translation and protein homeostasis	Rib
Q8ZLT2	tRNA pseudouridine synthase B	Translation and protein homeostasis	Rib
Q8ZLY6	Glutamine synthetase adenylyltransferase	Amino acid biosynthesis	Aab
Q8ZLY9	Ubiquinone biosynthesis accessory factor UbiK	Electron Transport chain	Etc
Q8ZM06	Methylglyoxal reductase DkgA	Carbon metabolism	Cbn
Q8ZM39	Membrane-bound lytic murein transglycosylase C	Lipid and cell wall metabolism	Lpb
Q8ZM40	tRNA (guanine-N(7)-)-methyltransferase	Translation and protein homeostasis	Rib
Q8ZM79	N(4)-acetylcytidine amidohydrolase	Translation and protein homeostasis	Rib
Q8ZMB5	Protease 3	Translation and protein homeostasis	Rib
Q8ZMC4	L-fucose mutarotase	Carbon metabolism	Cbn
Q8ZMC9	Flap endonuclease Xni	Other	Oth
Q8ZMD5	tRNA pseudouridine synthase C	Translation and protein homeostasis	Rib
Q8ZME1	RlmD methyltransferase	Translation and protein homeostasis	Rib
Q8ZMF2	CRISPR-associated endonuclease Cas1	Other	Oth
Q8ZMF8	tRNA pseudouridine synthase D	Translation and protein homeostasis	Rib
Q8ZMF9	Protein-L-isoaspartate O-methyltransferase	Translation and protein homeostasis	Rib
Q8ZMG5	3-oxo-tetronate kinase	Carbon metabolism	Cbn
Q8ZMJ5	Carbamoyltransferase HypF	Amino acid biosynthesis	Aab
Q8ZMJ7	Anaerobic nitric oxide reductase flavorubredoxin	Electron Transport chain	Etc
Q8ZMJ8	Anaerobic nitric oxide reductase transcription regulator NorR	Other	Oth
Q8ZMJ9	Arabinose 5-phosphate isomerase GutQ	Carbon metabolism	Cbn
Q8ZMX7	ATP-dependent RNA helicase SrmB	Translation and protein homeostasis	Rib
Q8ZN28	Membrane-bound lytic murein transglycosylase F	Lipid and cell wall metabolism	Lpb
Q8ZN53	Cytoskeleton protein RodZ	Flagellum and motility including its regulation	Fla
Q8ZN74	tRNA(Met) cytidine acetyltransferase TmcA	Translation and protein homeostasis	Rib
Q8ZNB0	Penicillin-insensitive murein endopeptidase	Lipid and cell wall metabolism	Lpb
Q8ZNB2	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC	Translation and protein homeostasis	Rib
Q8ZNB9	tRNA pseudouridine synthase A	Translation and protein homeostasis	Rib
Q8ZNF4	Lipopolysaccharide core heptose(II)-phosphate phosphatase PmrG	Lipid and cell wall metabolism	Lpb
Q8ZNM4	tRNA-dihydrouridine(16) synthase	Translation and protein homeostasis	Rib
Q8ZNM6	D-alanyl-D-alanine endopeptidase PBP7	Lipid and cell wall metabolism	Lpb
Q8ZNQ6	Anti-FlhC(2)FlhD(4) factor YdiV	Flagellum and motility including its regulation	Fla
Q8ZNR6	Propanediol dehydratase-reactivating factor small subunit	Carbon metabolism	Cbn
Q8ZNS5	Mlc titration factor A	Other	Oth
Q8ZNU4	Ferritin	Other	Oth
Q8ZNV1	tRNA U34 carboxymethyltransferase	Translation and protein homeostasis	Rib
Q8ZNZ2	Ribosomal RNA small subunit methyltransferase F	Translation and protein homeostasis	Rib
Q8ZP15	Fatty acid metabolism regulator protein	Lipid and cell wall metabolism	Lpb
Q8ZP51	Ribosomal large subunit pseudouridine synthase C	Translation and protein homeostasis	Rib
Q8ZP65	Thiol peroxidase Tpx	Translation and protein homeostasis	Rib
Q8ZP67	Murein peptide amidase A	Lipid and cell wall metabolism	Lpb
Q8ZPK5	Voltage-gated ClC-type chloride channel ClcB	Transport	Tra
Q8ZPM1	Ion-translocating oxidoreductase complex subunit B	Electron Transport chain	Etc
Q8ZPM2	Ion-translocating oxidoreductase complex subunit C	Electron Transport chain	Etc
Q8ZPM4	Ion-translocating oxidoreductase complex subunit G	Electron Transport chain	Etc
Q8ZPM6	Dipeptide and tripeptide permease A	Transport	Tra
Q8ZPP2	Multidrug resistance protein MdtK	Transport	Tra
Q8ZQ08	Penicillin-binding protein activator LpoB	Lipid and cell wall metabolism	Lpb
Q8ZQ16	Ribosomal large subunit pseudouridine synthase K/L	Translation and protein homeostasis	Rib
Q8ZQ23	tRNA uridine(34) hydroxylase	Translation and protein homeostasis	Rib
Q8ZQ34	N-acetylneuraminate epimerase	Carbon metabolism	Cbn
Q8ZQ59	Secreted effector protein PipB	Flagellum and motility including its regulation	Fla
Q8ZQ72	ATP-binding protein Uup	Translation and protein homeostasis	Rib
Q8ZQ73	Ribosomal RNA large subunit methyltransferase K/L	Translation and protein homeostasis	Rib
Q8ZQ79	Secreted effector protein SseI	Flagellum and motility including its regulation	Fla
Q8ZQB7	Chromosome partition protein MukF	Other	Oth
Q8ZQD5	DNA translocase FtsK	Lipid and cell wall metabolism	Lpb
Q8ZQJ5	23S rRNA methyltransferase RlmC	Translation and protein homeostasis	Rib
Q8ZQM1	Ribosomal protein uS12 methylthiotransferase RimO	Translation and protein homeostasis	Rib
Q8ZQN7	ATP-dependent DNA helicase DinG	Other	Oth
Q8ZQZ7	LPS-assembly lipoprotein LptE	Lipid and cell wall metabolism	Lpb
Q8ZR01	Rare lipoprotein A	Lipid and cell wall metabolism	Lpb
Q8ZRB9	Lon protease	Translation and protein homeostasis	Rib
Q8ZRC0	ClpX	Translation and protein homeostasis	Rib
Q8ZRD8	Queuine tRNA-ribosyltransferase	Translation and protein homeostasis	Rib
Q8ZRF7	Inhibitor of hydrogen peroxide resistance	Other	Oth
Q8ZRG7	Mercuric Transport protein	Transport	Tra
Q8ZRJ9	Outer membrane protein PagN	Flagellum and motility including its regulation	Fla
Q8ZRN3	Peptidyl-tRNA hydrolase ArfB	Translation and protein homeostasis	Rib
Q8ZRP1	Regulator of sigma E protease RseP	Other	Oth
Q8ZRS5	D-threonate kinase	Carbon metabolism	Cbn
Q8ZRT6	8-oxo-dGTP diphosphatase MutT	Other	Oth
Q8ZRV8	RNA polymerase-associated protein RapA	Translation and protein homeostasis	Rib
Q8ZRV9	Dual-specificity RNA pseudouridine synthase RluA	Translation and protein homeostasis	Rib
Q8ZRW0	LPS-assembly protein LptD	Lipid and cell wall metabolism	Lpb
Q8ZRW2	Potassium-efflux antiporter KefC	Transport	Tra
Q8ZRW3	Quinone reductase KefF	Electron Transport chain	Etc
Q8ZRX2	Crotonobetainyl-CoA reductase	Carbon metabolism	Cbn
Q8ZRX3	L-carnitine CoA-transferase	Carbon metabolism	Cbn
Q8ZRX5	Carnitinyl-CoA dehydratase	Carbon metabolism	Cbn
Q935S7	Chromosome partition protein MukB	Other	Oth
Q93CH6	HTH-type transcriptional regulator CueR	Other	Oth
Q93IN1	Cyclic di-GMP-binding protein	Other	Oth
Q9F7A2	GDP-mannose mannosyl hydrolase	Carbon metabolism	Cbn
Q9L645	Anaerobic ribonucleoside-triphosphate reductase-activating protein	Other	Oth
Q9L6L2	Trk system potassium uptake protein TrkH	Transport	Tra
Q9L6M2	3'-5' ssDNA/RNA exonuclease TatD	Other	Oth
Q9L6M5	Ubiquinone biosynthesis accessory factor UbiJ	Electron Transport chain	Etc
Q9L6N4	Pyridoxal phosphate phosphatase YigL	Carbon metabolism	Cbn
Q9L6S1	ATP-dependent DNA helicase Rep	Other	Oth
Q9RPF4	Divalent metal cation Transporter MntH	Transport	Tra
Q9XCI8	GTPase Der	Translation and protein homeostasis	Rib
Q9XDM6	Propanediol utilization protein PduV	Other	Oth
